# time (mid interval);	delta t;	Delta u_{xx};	Delta u_{xy};	Delta u_{yx};	Delta u_{yy}
16.0399	0.0797229	0.000923653	-0.000120007	0.000279009	0.00178023
16.1194	0.0794451	0.0012147	0.000318595	-0.000105544	0.00103645
16.1975	0.0766673	0.00115834	-0.000168759	-0.000486558	0.0008616
16.2746	0.0775006	0.00108444	-0.000168449	-0.000349835	0.000722709
16.3518	0.0769451	0.0012764	-0.000245155	-0.000243746	0.00105615
16.4294	0.078334	0.00143774	-0.000773224	-0.000560448	-0.000103527
16.5081	0.0788895	0.00163253	-0.000393305	-0.000685675	0.000639124
16.5867	0.078334	0.00241194	-0.0002117	-0.000724079	0.000382735
16.6649	0.0780562	0.00239552	-0.000616927	-0.000474011	-0.000756478
16.7428	0.0777784	0.00129668	0.000304146	-0.000588155	-0.000972946
16.8208	0.078334	0.00134828	-0.000290646	0.00159435	-0.00150563
16.8996	0.0791673	0.0013454	0.000147862	0.00146393	-0.00129506
16.9789	0.0794451	0.000737325	0.000436788	0.00178278	-0.00175305
17.0578	0.078334	0.000264897	0.00107948	0.00130216	-0.0029214
17.1363	0.0786117	0.000203312	-4.07659e-05	0.00216688	-0.000566548
17.2138	0.0763895	-0.000403431	0.000636493	0.000615826	-0.00314476
17.2907	0.0775006	0.000749958	0.000320796	0.000498665	-0.00237638
17.3676	0.0763895	0.000484272	-0.000211238	0.00101971	-0.00192082
17.4443	0.0769451	0.000302463	-0.000467431	0.00143953	-0.00082731
17.5213	0.0769451	-0.000928652	0.000885419	0.000647557	-0.00200235
17.5983	0.0772228	0.000184297	0.0010681	0.000542856	-0.00227711
17.6756	0.0772228	0.000242083	0.000811441	0.000945286	-0.00166627
17.7527	0.0769451	-0.000562965	0.000899054	0.0017437	-0.00247457
17.8302	0.0780562	7.39419e-05	0.00079996	-0.000209969	-0.00320492
17.9099	0.0813895	0.000150314	0.00117639	-0.000183773	-0.00374531
17.9921	0.0830562	-0.000160543	0.00156142	0.00235217	-0.00280275
18.0732	0.0791673	0.000152454	0.00157865	0.000220603	-0.00216963
18.1522	0.0788895	-2.35301e-05	0.00166057	0.00166563	-0.00310354
18.2311	0.0788895	-0.000237493	0.00174452	0.000817052	-0.00334053
18.3096	0.0780562	-0.000824654	0.00103486	0.00130992	-0.00203594
18.3879	0.0786117	0.00135772	0.00163956	0.00286139	-0.00434117
18.4663	0.0780562	0.000516653	0.000813929	0.000106842	-0.00279772
18.5446	0.0786117	0.00153965	0.00149694	-0.00100651	-0.00462244
18.6228	0.0777784	0.00105797	-0.000581896	0.00188698	-0.00260593
18.7027	0.0819451	-0.000302867	0.000924187	0.000762915	-0.00383561
18.7842	0.0811118	0.000696016	0.00027055	0.00260149	-0.0027307
18.8647	0.0800006	0.00109656	0.000679335	0.000737325	-0.00327628
18.9446	0.0797229	0.00126235	0.0012529	0.00040222	-0.00395983
19.0252	0.0813895	0.000905469	0.000399177	0.000800749	-0.00221546
19.1061	0.0805562	0.00176459	7.86999e-05	-0.000442823	-0.00209583
19.1867	0.0805562	0.00134695	4.91195e-05	0.000458178	-0.00262693
19.2663	0.0786117	0.00191041	0.000118046	0.000354616	-0.00292329
19.345	0.0788895	0.00145548	0.000316086	-1.76427e-05	-0.00241596
19.4239	0.0788895	0.000880834	-0.000445286	0.00104911	-0.00248816
19.5031	0.0794451	0.00155463	0.000146267	-0.000986531	-0.00310778
19.5821	0.0786117	-7.11093e-05	-0.00045493	0.00193914	-0.00208547
19.6611	0.0794451	0.000657504	-0.0003268	0.000585301	-0.00227028
19.741	0.0802784	0.00163202	-0.00028981	0.000251602	-0.00153893
19.821	0.0797229	0.00163941	0.000496862	-0.000411855	-0.00256816
19.9014	0.0811118	0.00145774	-0.000101384	-0.000836939	-0.00185346
19.9824	0.080834	0.000869704	-0.000433847	0.00166764	-0.00209305
20.0629	0.0802784	0.00186988	-3.54616e-05	0.000232071	-0.0023608
20.1441	0.0819451	0.00146274	-0.00022294	0.00140556	-0.00252874
20.2264	0.0827784	0.000673491	-3.34876e-05	0.000640185	-0.00202253
20.3075	0.0794451	0.00118321	-0.000281863	-0.000788807	-0.00205804
20.3889	0.083334	3.94413e-05	-0.000842684	0.000697431	-0.00170183
20.4705	0.0797229	0.000251526	0.000140818	0.000974597	-0.00247229
20.5502	0.0797229	0.000651778	-0.000261165	-0.000175897	-0.00158629
20.6317	0.083334	0.00156246	8.97638e-05	-0.000524323	-0.00231374
20.7168	0.0869451	0.00148588	-0.000209776	0.000828571	-0.00208892
20.8003	0.0800006	0.00170377	0.000504951	0.000555032	-0.00211347
20.8812	0.0816673	0.00126767	-0.000567179	-0.000355935	-0.00110906
20.9627	0.0813895	0.00238718	-0.000725534	-0.000706959	-0.000790496
21.045	0.083334	0.0018339	0.000274447	-0.000103848	-0.000974208
21.1267	0.0800006	0.00162178	-0.00074992	-0.00045821	-0.000747421
21.2075	0.0816673	0.00239975	1.75248e-05	-0.000968121	-0.00185924
21.2885	0.0802784	0.00122143	-0.000103919	-0.000278465	-0.00122287
21.3698	0.0822229	0.00182082	0.000286547	-0.000299845	-0.00140116
21.4513	0.080834	0.000833847	-0.000107442	-0.000151271	-0.00130743
21.5321	0.080834	0.0013573	0.000257622	0.000113742	-0.00150752
21.6128	0.0805562	0.00171358	0.000138647	-0.00165473	-0.00133208
21.6932	0.0802784	0.00138576	0.000343345	-0.000223659	-0.00138789
21.7731	0.0794451	0.000906155	-0.00063783	0.000377168	-0.000414427
21.8537	0.0816673	0.0011972	-0.00039793	-0.000402308	-0.000321377
21.9349	0.080834	0.00188368	8.23775e-05	-0.00047385	-0.000739737
22.0153	0.0800006	0.00166339	0.000351993	0.000330388	-0.000771001
22.0955	0.0802784	0.00203861	0.000445314	-0.000357332	-0.00119821
22.1756	0.0800006	0.00191843	-0.00020545	-0.00075974	-0.000144848
22.2552	0.0791673	0.00203178	-0.000464483	-0.0010611	-0.00119387
22.3345	0.0794451	0.00159968	-0.000238223	-0.000239489	-0.000695005
22.4137	0.0788895	0.00228149	-0.000306465	-0.00140373	6.40486e-05
22.4923	0.078334	0.00163325	4.38436e-05	-0.000324079	-0.000728913
22.5707	0.0786117	0.00170769	0.00029928	-0.00125205	-0.00115626
22.6494	0.0786117	0.00160701	0.0004383	-2.08465e-05	-0.00148155
22.7299	0.0825007	0.00169813	-7.71327e-06	-0.00127186	-0.000727584
22.8135	0.0847229	0.00162312	3.46903e-05	5.49767e-05	-0.000886236
22.8962	0.0805562	0.0019483	0.00017491	-0.000772461	-0.000971637
22.9767	0.0805562	0.00180916	0.000131005	-0.000504762	-0.000694856
23.0571	0.0802784	0.00237064	0.000229034	-0.000701585	-0.000434346
23.1376	0.0805562	0.00201524	0.00021665	-0.00109123	-0.000945018
23.2178	0.0800006	0.00220024	0.000219006	-0.00121865	-0.00103998
23.2984	0.0811118	0.00225316	-0.000424629	-0.00128233	-0.000204168
23.3791	0.0802784	0.00180998	0.000414976	-0.0011752	-0.00129848
23.4594	0.0802784	0.00189809	-0.000558198	-0.000427865	-0.000390361
23.5394	0.0797229	0.00208461	0.000476398	0.0002851	-0.00162915
23.6194	0.0802784	0.00115676	0.000262493	-8.07204e-05	-0.000783716
23.6996	0.0802784	0.00199966	0.000418232	-0.00120333	-0.000436105
23.7798	0.0800006	0.000726951	1.97957e-05	4.1949e-05	-0.000890976
23.8598	0.0800006	0.00208107	-0.000231142	-0.000151231	-6.8692e-05
23.9396	0.0797229	0.00183852	0.000451503	-0.00100016	-0.00139312
24.0194	0.0797229	0.00135921	-8.14747e-05	0.00084706	0.000214043
24.0991	0.0797229	0.00163823	-4.30299e-05	-0.000335912	-0.000781682
24.1791	0.0802784	0.00123417	1.91949e-05	-0.000986203	-0.000614749
24.2591	0.0797229	0.00193944	-0.000226056	-0.000752487	0.00034765
24.3391	0.0802784	0.00170823	0.000849166	-0.000519036	-0.000961348
24.4192	0.0800006	0.00182843	3.8427e-05	-0.000795698	0.0002836
24.4992	0.0800006	0.0014907	0.000130139	-0.000888999	-0.000990147
24.5792	0.0800006	0.00208357	0.000249438	-0.000309075	-0.000540811
24.6597	0.080834	0.00116238	-3.96708e-05	0.000115003	0.000514779
24.7406	0.0811118	0.00116321	0.00029935	-0.000582854	-0.000913911
24.8217	0.0811118	0.00123245	0.000308505	-0.000251796	-0.000503205
24.9028	0.0811118	0.00196041	0.000612855	0.00046934	-0.00094654
24.9838	0.080834	0.00120667	0.000385369	-0.000206552	-0.000204701
25.0645	0.0805562	0.00209459	0.00022998	-0.00181028	-0.000515803
25.1452	0.080834	0.00147526	-3.76346e-05	-0.000231153	-0.00114649
25.2265	0.0816673	0.00134154	1.50026e-05	-0.000154254	-0.000318476
25.3091	0.0836118	0.00271727	-7.95926e-05	-0.000392949	-0.000401712
25.3945	0.0872229	0.00130552	3.71644e-05	0.000481949	-0.000289623
25.4791	0.0819451	0.00197423	0.000480708	-0.00108245	-0.00149142
25.5617	0.083334	0.00158892	0.000178697	-0.00081293	-0.000265906
25.6448	0.0827784	0.00178975	0.000247681	-3.43899e-05	-0.00085008
25.7272	0.0819451	0.00203308	9.07295e-05	-0.00033361	-0.000505667
25.8094	0.0825007	0.00147086	-0.000356561	0.000275715	0.000207578
25.8919	0.0825007	0.00161546	0.000270877	-0.00114682	-0.000444783
25.9749	0.0836118	0.00145687	4.08611e-05	-0.000288091	-0.000757629
26.0583	0.0830562	0.00147239	0.000305987	-0.000176504	-0.000539192
26.1411	0.0825007	0.0013456	-0.000124051	-0.000277439	-0.000599244
26.2237	0.0827784	0.000919915	-0.000141323	0.000757746	-0.00141748
26.3083	0.0863896	0.00113743	-0.00011822	-1.26827e-05	2.34817e-05
26.3938	0.0847229	0.00142751	0.000138904	-0.000259236	-0.000316541
26.4783	0.0841673	0.00143696	0.000452459	-0.000677987	-0.000644729
26.5659	0.0911118	0.00155945	5.39485e-05	-0.000272425	-0.000288717
